product,inventory,cost,demand,fulfillment,product_name,inventory_units,cost_per_unit,total_demand,fulfillment_days,product_name,inventory_units,cost_per_unit,total_demand,fulfillment_days
Nike Running Shoes,50.0,40.0,120.0,4.0,,,,,,,,,,
Adidas Football,30.0,20.0,80.0,5.0,,,,,,,,,,
Puma Hoodie,25.0,35.0,60.0,3.0,,,,,,,,,,
Reebok Cap,40.0,10.0,30.0,2.0,,,,,,,,,,
Under Armour Socks,100.0,5.0,150.0,1.0,,,,,,,,,,
,,,,,Nike Running Shoes,50.0,40.0,120.0,4.0,,,,,
,,,,,Adidas Football,30.0,20.0,80.0,5.0,,,,,
,,,,,Puma Hoodie,25.0,35.0,60.0,3.0,,,,,
,,,,,Reebok Cap,40.0,10.0,30.0,2.0,,,,,
,,,,,Under Armour Socks,100.0,5.0,150.0,1.0,,,,,
,,,,,,,,,,Nike Running Shoes,50.0,40.0,120.0,4.0
,,,,,,,,,,Adidas Football,30.0,20.0,80.0,5.0
,,,,,,,,,,Puma Hoodie,25.0,35.0,60.0,3.0
,,,,,,,,,,Reebok Cap,40.0,10.0,30.0,2.0
,,,,,,,,,,Under Armour Socks,100.0,5.0,150.0,1.0
